icd9v6.01编码,实际操作名称v6.01,属性v6.01,录入选项v6.01
32.20002,纵隔镜下肺病损切除术,,必选
32.21001,肺大泡缝扎术,,必选
32.21005,胸腔镜下肺大泡缝扎术,,必选
32.22002,肺减容术,,必选
32.22003,胸腔镜下肺减容术,,必选
32.22004,支气管镜下肺减容术,,必选
32.23001,直视下肺病损射频消融术,,必选
32.24001,经皮肺病损射频消融术,治疗性操作,必选
32.25001,胸腔镜下肺病损射频消融术,,必选
32.28004,胸腔镜下肺病损切除术,,必选
32.28006,胸腔镜下肺病损氩氦刀冷冻术,,必选
32.28008,胸腔镜下肺部分切除术,,必选
32.29004,肺病损切除术,,必选
32.29005,肺病损氩氦刀冷冻术,,必选
32.29009,肺楔形切除术,,必选
32.29016,余肺楔形切除术,,必选
32.30001,胸腔镜下肺叶部分切除术,,必选
32.30002,胸腔镜下肺段切除术,,必选
32.39001,肺段切除术,,必选
32.39002,肺叶部分切除术,,必选
32.39003,全余肺切除术,,必选
32.41001,胸腔镜下肺叶切除术,,必选
32.41002,胸腔镜下复合肺叶切除术,,必选
32.49001,肺叶切除术,,必选
32.49002,肺叶伴肺段切除术,,必选
32.49003,余肺肺叶切除术,,必选
32.49004,肺叶伴临近肺叶节段切除术,,必选
32.50001,胸腔镜下全肺切除术,,必选
32.50002,胸腔镜下全肺切除术伴纵隔淋巴结清扫术,,必选
32.59001,全肺切除术,,必选
32.59002,全肺切除术伴纵隔淋巴结清扫术,,必选
32.6 002,肺叶切除术伴淋巴结清扫术,,必选
32.6 003,胸腔结构的根治性清扫术,,必选
32.6 004,支气管根治性清扫术,,必选
33.0 001,支气管切开异物取出术,,必选
33.0 002,支气管切开术,,必选
33.0 003,胸腔镜下支气管切开异物取出术,,必选
33.0 004,胸腔镜下支气管切开术,,必选
33.1 001,肺内异物取出术,,必选
33.1 002,肺切开术,,必选
33.1 003,胸腔镜下肺内异物取出术,,必选
33.1 004,胸腔镜下肺切开术,,必选
33.20001,胸腔镜下肺活检术,,必选
33.20002,纵隔镜下肺组织活检术,,必选
33.22001,纤维支气管镜检查,诊断性操作,必选
33.22002,荧光支气管镜检查,诊断性操作,必选
33.23002,磁导航支气管镜检查,诊断性操作,必选
33.24001,支气管镜下支气管活检,诊断性操作,必选
33.25001,直视下支气管活检术,,必选
33.25002,胸腔镜下支气管活检术,,必选
33.26001,肺穿刺活检,诊断性操作,必选
33.26002,经皮针吸肺活检,诊断性操作,必选
33.27004,支气管镜下肺活检,诊断性操作,必选
33.28001,开胸肺活检术,,必选
33.31001,膈神经破坏术,,必选
33.32001,胸腔注气术,,必选
33.32002,胸腔镜下胸腔注气术,,必选
33.34001,胸廓成形术,,必选
33.34003,胸廓改良成形术,,必选
33.34004,局限性胸廓成形术,,必选
33.39003,胸膜粘连松解术,,必选
33.41001,支气管裂伤缝合术,,必选
33.41002,胸腔镜下支气管裂伤缝合术,,必选
33.42001,食管-支气管瘘修补术,,必选
33.43002,肺裂伤修补术,,必选
33.48001,支气管成形术,,必选
33.49001,肺修补术,,必选
33.49002,胸腔镜下肺修补术,,必选
33.51001,单侧肺移植术,,必选
33.52001,双侧肺移植术,,必选
33.6 001,心-肺联合移植术,,必选
33.71001,支气管镜下单叶支气管瓣置入术,治疗性操作,必选
33.71002,支气管镜下单叶支气管瓣置换术,治疗性操作,必选
33.73001,支气管镜下多叶支气管瓣置入术,治疗性操作,必选
33.73002,支气管镜下多叶支气管瓣置换术,治疗性操作,必选
33.78001,支气管镜下支气管置入物去除,治疗性操作,必选
33.79001,支气管镜下支气管扩张术,治疗性操作,必选
33.79002,支气管镜下支气管热成形术,治疗性操作,必选
33.91001,支气管扩张术,,必选
33.92001,支气管结扎术,,必选
33.92002,胸腔镜下支气管结扎术,,必选
33.93001,肺穿刺术,治疗性操作,必选
33.99001,支气管肺灌洗术,,必选
34.01001,胸壁切开术,,必选
34.01002,胸膜外引流术,,必选
34.01003,胸壁异物取出术,,必选
34.02001,开胸探查术,,必选
34.02003,胸腔镜中转开胸探查术,,必选
34.03001,近期开胸术后再开胸术,,必选
34.03002,近期手术后胸腔内止血术,,必选
34.04001,胸壁血肿清除术,,必选
34.04003,胸腔闭式引流术,治疗性操作,必选
34.04004,胸腔闭式引流管调整术,治疗性操作,必选
34.05001,创建胸膜腹膜分流术,,必选
34.09001,开胸引流术,,必选
34.09002,开胸止血术,,必选
34.09006,胸膜切开探查术,,必选
34.09007,胸腔镜下止血术,,必选
34.09009,胸腔内异物取出术,,必选
34.09010,胸腔镜下脓胸清除术,,必选
34.1 001,纵隔切开探查术,,必选
34.1 003,纵隔血肿清除术,,必选
34.1 004,纵隔异物取出术,,必选
34.1 005,纵隔切开引流术,,必选
34.20001,胸腔镜下胸膜活检术,,必选
34.21002,胸腔镜检查,诊断性操作,必选
34.22001,纵隔镜检查,诊断性操作,必选
34.23001,胸壁活检,诊断性操作,必选
34.24001,胸膜活检,诊断性操作,必选
34.25002,纵隔闭合性活检,诊断性操作,必选
34.26001,纵隔活检术,,必选
34.27001,膈肌活检术,,必选
34.3 001,胸腔镜下纵隔病损切除术,,必选
34.3 005,纵隔病损切除术,,必选
34.4 001,胸壁病损切除术,,必选
34.4 007,胸腔镜下胸壁病损切除术,,必选
34.4 008,胸腔病损切除术,,必选
34.51001,胸膜剥脱术,,必选
34.51004,脏层胸膜剥除术,,必选
34.51005,肺门胸膜剥除松解术,,必选
34.59001,胸膜病变切除术,,必选
34.59002,胸膜部分切除术,,必选
34.59005,胸腔镜下胸膜病变切除术,,必选
34.6 001,胸膜划痕术,,必选
34.6 002,胸膜硬化术,,必选
34.71001,胸壁裂伤缝合术,,必选
34.71002,胸壁清创缝合术,,必选
34.72001,胸廓造口闭合术,,必选
34.73001,食管-胸膜瘘闭合术,,必选
34.73002,支气管-胸膜瘘闭合术,,必选
34.74001,鸡胸矫正术,,必选
34.74002,漏斗胸矫正术,,必选
34.74005,胸廓畸形矫正术,,必选
34.74006,胸腔镜下胸廓畸形矫正术,,必选
34.74007,鸡胸反NUSS手术,,必选
34.74008,漏斗胸NUSS手术,,必选
34.74009,胸腔镜下鸡胸反NUSS手术,,必选
34.74010,胸腔镜下漏斗胸NUSS手术,,必选
34.79001,胸壁修补术,,必选
34.79002,关胸术,,必选
34.79003,胸壁缺损修补术(人工材料),,必选
34.79004,胸壁缺损修补术(自体材料),,必选
34.81002,膈肌病损切除术,,必选
34.81003,膈肌部分切除术,,必选
34.82002,膈肌缝合术,,必选
34.82003,膈肌裂伤缝合术,,必选
34.83001,胸-肠瘘管切除术,,必选
34.84003,膈肌修补术,,必选
34.85001,膈肌起搏器置入术,,必选
34.89002,膈肌脓肿引流术,,必选
34.91003,胸腔穿刺术,治疗性操作,必选
34.91004,超声引导下胸腔穿刺术,治疗性操作,必选
34.91005,CT引导下胸腔穿刺术,治疗性操作,必选
34.92001,化学胸膜固定术,,必选
34.92002,胸腔内注射,治疗性操作,必选
34.93001,胸膜修补术,,必选
34.93002,胸腔镜下胸膜修补术,,必选
34.99001,胸膜固定术,,必选
34.99003,胸腔镜下胸膜固定术,,必选
34.99004,胸腔镜下胸腔粘连松解术,,必选
34.99006,胸腔粘连松解术,,必选
35.01001,主动脉瓣闭式扩张术,,必选
35.01002,主动脉瓣探查术,,必选
35.02001,二尖瓣闭式扩张术,,必选
35.02003,二尖瓣探查术,,必选
35.03001,肺动脉瓣闭式扩张术,,必选
35.03002,肺动脉瓣探查术,,必选
35.04001,三尖瓣探查术,,必选
35.04002,三尖瓣闭式扩张术,,必选
35.05001,经皮主动脉瓣置入术[TAVI术],治疗性操作,必选
35.05002,经皮主动脉瓣置换术[TAVR术],治疗性操作,必选
35.06001,经胸主动脉瓣支架置入术,,必选
35.06002,经心尖主动脉瓣生物瓣膜置换术,,必选
35.07001,经皮肺动脉瓣置入术[PPVI术],治疗性操作,必选
35.08001,经胸肺动脉瓣支架置入术,,必选
35.11001,主动脉瓣成形术,,必选
35.12001,直视下二尖瓣修补术,,必选
35.12002,直视下二尖瓣切开扩张术,,必选
35.13001,直视下肺动脉瓣成形术,,必选
35.13002,直视下肺动脉瓣切开扩张术,,必选
35.14001,直视下三尖瓣修补术,,必选
35.14002,三尖瓣下移矫治术,,必选
35.21001,主动脉瓣生物瓣膜置换术,,必选
35.21002,Ross手术,,必选
35.21003,主动脉瓣置换伴升主动脉置换术[Wheat's手术],,必选
35.22001,主动脉瓣机械瓣膜置换术,,必选
35.23001,二尖瓣生物瓣膜置换术,,必选
35.24001,二尖瓣机械瓣膜置换术,,必选
35.25001,肺动脉瓣生物瓣膜置换术,,必选
35.26001,肺动脉瓣机械瓣膜置换术,,必选
35.27001,三尖瓣生物瓣膜置换术,,必选
35.28001,三尖瓣机械瓣膜置换术,,必选
35.31001,心脏乳头肌修补术,,必选
35.32001,腱索切断术,,必选
35.32002,腱索修补术,,必选
35.33001,二尖瓣瓣环成形术,,必选
35.33002,三尖瓣瓣环成形术,,必选
35.34001,右心室动脉圆锥切除术,,必选
35.34003,右室流出道疏通术,,必选
35.34004,左室流出道疏通术,,必选
35.35001,主动脉瓣膜下环切除术,,必选
35.39001,主动脉窦修补术[Valsalva手术],,必选
35.39002,主动脉瓣瓣上狭窄矫治术,,必选
35.41001,房间隔缺损扩大术,,必选
35.42001,布莱洛克-汉隆手术[Blalock-Hanlon手术],,必选
35.42002,房间隔开窗术,,必选
35.42003,经皮房间隔造口术,治疗性操作,必选
35.42004,经皮室间隔完整的肺动脉闭锁射频打孔及球囊扩张成形术,治疗性操作,必选
35.42005,室间隔开窗术,,必选
35.42006,室间隔缺损扩大术,,必选
35.51001,直视下房间隔缺损人造补片修补术,,必选
35.51002,经胸房间隔缺损闭式伞堵修补术,,必选
35.52001,经皮房间隔缺损封堵术,治疗性操作,必选
35.52002,经皮卵圆孔未闭封堵术,治疗性操作,必选
35.53001,室间隔缺损人造补片修补术,,必选
35.53003,经胸室间隔缺损闭式伞堵修补术,,必选
35.54003,心内膜垫缺损假体修补术,,必选
35.55001,经皮室间隔缺损封堵术,治疗性操作,必选
35.61002,房间隔缺损组织补片修补术,,必选
35.61003,卵圆孔未闭组织补片修补术,,必选
35.62001,室间隔缺损组织补片修补术,,必选
35.63002,心内膜垫缺损组织补片修补术,,必选
35.71001,房间隔缺损修补术,,必选
35.71002,卵圆孔未闭修补术,,必选
35.71003,房间隔部分闭合术,,必选
35.71004,房间隔开窗闭合术,,必选
35.72001,室间隔缺损修补术,,必选
35.72002,多发室间隔缺损修补术,,必选
35.73002,心内膜垫缺损修补术,,必选
35.73003,右房右室异常通道修补术,,必选
35.73004,单心房矫治术,,必选
35.81001,法洛四联症根治术,,必选
35.81006,右室流出道补片修补术,,必选
35.81007,左室流出道补片修补术,,必选
35.82006,部分肺静脉异位引流矫正术,,必选
35.82007,完全肺静脉异位引流矫正术,,必选
35.83001,完全动脉干矫正术,,必选
35.83002,完全动脉干矫正伴室间隔缺损假体置入术,,必选
35.83003,主动脉-肺动脉间隔缺损修补术,,必选
35.84001,大血管转位矫正术,,必选
35.84002,Nikaidoh手术,,必选
35.84003,双动脉根部调转术,,必选
35.84004,体-肺侧枝汇聚术,,必选
35.91001,马斯塔德手术[Mustard手术],,必选
35.91002,心房内调转术[Senning手术],,必选
35.92001,右心室-肺动脉分流术[Rastelli手术],,必选
35.92002,REV手术,,必选
35.93001,左心室尖-主动脉分流术,,必选
35.93002,心室内隧道修补术,,必选
35.93003,左心室-主动脉隧道修补术,,必选
35.94001,方坦手术[Fontan手术],,必选
35.94002,半方坦手术[半Fontan手术],,必选
35.95001,人造心脏瓣膜重新缝合术,,必选
35.95002,心脏间隔补片再缝合术,,必选
35.95003,主动脉瓣瓣周漏修补术,,必选
35.95004,二尖瓣瓣周漏修补术,,必选
35.95005,三尖瓣瓣周漏修补术,,必选
35.95006,经皮肺动脉瓣瓣周漏修补术,治疗性操作,必选
35.96002,经皮二尖瓣球囊扩张成形术,治疗性操作,必选
35.96003,经皮肺动脉瓣球囊扩张成形术,治疗性操作,必选
35.96004,经皮主动脉瓣球囊扩张成形术,治疗性操作,必选
35.96005,经皮三尖瓣球囊扩张成形术,治疗性操作,必选
35.97001,经皮二尖瓣生物瓣置换术,治疗性操作,必选
35.97002,经皮二尖瓣机械瓣置换术,治疗性操作,必选
35.97003,经皮二尖瓣钳夹术(Mitra Clip),治疗性操作,必选
35.99001,三尖瓣瓣膜切除术(非瓣膜置换),,必选
35.99002,三尖瓣闭合术(单心室),,必选
36.03002,直视下冠状动脉内膜切除术,,必选
36.03003,直视下冠状动脉内膜切除术伴补片移植术,,必选
36.03006,冠状动脉开口成形术,,必选
36.04001,经皮冠状动脉内溶栓剂注射,治疗性操作,必选
36.06003,经皮冠状动脉支架置入术,治疗性操作,必选
36.06004,经皮冠状动脉非药物洗脱支架置入术,治疗性操作,必选
36.06005,经皮冠状动脉生物可吸收支架植入术,治疗性操作,必选
36.06006,经皮冠状动脉覆膜支架置入术,治疗性操作,必选
36.07003,经皮冠状动脉药物洗脱支架置入术,治疗性操作,必选
36.10001,主动脉-冠状动脉搭桥术,,必选
36.10002,带蒂左冠状动脉移植术,,必选
36.11001,主动脉-一支冠状动脉搭桥术,,必选
36.12001,主动脉-二支冠状动脉搭桥术,,必选
36.13001,主动脉-三支冠状动脉搭桥术,,必选
36.14001,主动脉-多支冠状动脉搭桥术,,必选
36.15001,单侧乳内动脉-冠状动脉搭桥术,,必选
36.16001,双侧乳内动脉-冠状动脉搭桥术,,必选
36.17001,胃网膜动脉-冠状动脉搭桥术,,必选
36.19001,左锁骨下动脉-左冠状动脉吻合术,,必选
36.2 001,动脉植入心脏血管重建术,,必选
36.31001,心肌激光打孔术,,必选
36.39001,心脏网膜固定术,,必选
36.39002,心肌细胞移植术,,必选
36.91001,冠状血管动脉瘤修补术,,必选
36.99001,冠状动脉结扎术,,必选
36.99002,冠状动脉探查术,,必选
36.99003,经皮冠状动脉-肺动脉瘘封堵术,治疗性操作,必选
36.99004,冠状动脉瘘修补术,,必选
36.99005,经皮冠状动脉-右房瘘封堵术,治疗性操作,必选
37.0 001,心包穿刺术,治疗性操作,必选
37.10001,心脏切开术,,必选
37.11001,心肌切开术,,必选
37.11002,心内膜切开术,,必选
37.11003,心室切开术,,必选
37.11004,心房切开血栓清除术,,必选
37.11005,冠状动脉肌桥切断术,,必选
37.12001,心包开窗术,,必选
37.12003,心包切开引流术,,必选
37.12004,心包粘连松解术,,必选
37.12005,心包切开探查术,,必选
37.12006,心包异物取出术,,必选
37.12008,胸腔镜下心包切开引流术,,必选
37.21001,右心导管检查,诊断性操作,必选
37.22001,左心导管检查,诊断性操作,必选
37.23001,左右心联合导管检查,诊断性操作,必选
37.24001,心包活检术,,必选
37.24002,胸腔镜下心包活检术,,必选
37.25001,经皮心肌活检,诊断性操作,必选
37.25002,心肌活检术,,必选
37.26001,术中心脏电生理检查,诊断性操作,必选
37.28002,心腔内超声心动图[ICE],诊断性操作,必选
37.29001,希氏束电图,诊断性操作,必选
37.31001,心包部分切除术,,必选
37.31002,心包病损切除术,,必选
37.31004,心包剥脱术,,必选
37.32001,心脏动脉瘤切除术,,必选
37.32002,心脏动脉瘤修补术,,必选
37.33001,经胸心脏射频消融改良迷宫术,,必选
37.33002,心房病损切除术,,必选
37.33003,心肌部分切除术,,必选
37.33004,心室病损切除术,,必选
37.33006,心室异常肌束切除术,,必选
37.33008,心脏病损切除术,,必选
37.33009,三房心矫治术,,必选
37.33010,经胸心脏微波消融术,,必选
37.33011,心房部分切除术,,必选
37.34001,经皮心脏射频消融术,治疗性操作,必选
37.34002,经皮心脏冷冻消融术,治疗性操作,必选
37.34003,经皮心脏化学消融术,治疗性操作,必选
37.34004,经皮心脏微波消融术,治疗性操作,必选
37.35001,心室部分切除术,,必选
37.35002,改良Morrow手术,,必选
37.35003,心室减容术[Batista手术],,必选
37.36001,胸腔镜下左心耳切除术,,必选
37.36002,经皮左心耳封堵术,治疗性操作,必选
37.49001,心包修补术,,必选
37.49002,心脏破裂修补术,,必选
37.49004,心房折叠术,,必选
37.49005,心室修补术,,必选
37.49006,心耳结扎术,,必选
37.49007,室壁瘤折叠术,,必选
37.49008,经皮心室重建术,治疗性操作,必选
37.49009,经皮左心室减容重塑(伞样)装置置入术,治疗性操作,必选
37.49010,一个半心室矫治术,,必选
37.49011,右心室双腔心矫治术,,必选
37.49012,左心室双出口矫治术,,必选
37.49013,左心室双心室矫治术,,必选
37.49014,改良心室修补术,,必选
37.51001,心脏移植术,,必选
37.52001,全人工心脏移植术,,必选
37.61003,主动脉球囊反搏装置置入术[IABP手术],治疗性操作,必选
37.62001,心脏泵置入术,治疗性操作,必选
37.63001,经胸心脏辅助装置置换术,,必选
37.64001,心脏辅助装置去除术,治疗性操作,必选
37.65001,经皮左心室辅助装置置入术[LVAD置入术],治疗性操作,必选
37.65002,经皮右心室辅助装置置入术[RVAD置入术],治疗性操作,必选
37.66001,左心室辅助装置置入术[LVAD置入术],,必选
37.66002,右心室辅助装置置入术[RVAD置入术],,必选
37.68001,经皮心脏辅助装置置换术,治疗性操作,必选
37.68002,经皮心脏辅助装置置入术,治疗性操作,必选
37.68003,经皮导管左心辅助装置置入术[Impella导管心室辅助系统置入],治疗性操作,必选
37.72001,首次经静脉心房和心室电极置入术,治疗性操作,必选
37.73001,首次经静脉心房电极置入术,治疗性操作,必选
37.74001,心外膜电极置换术,治疗性操作,必选
37.75002,导线矫正术,治疗性操作,必选
37.76001,经静脉心房和心室电极置换术,治疗性操作,必选
37.77002,心脏电极去除术,治疗性操作,必选
37.78001,经静脉临时起搏器置入术,治疗性操作,必选
37.79001,心脏起搏器囊袋修补术,治疗性操作,必选
37.79002,心脏起搏器囊袋清创术,治疗性操作,必选
37.80001,永久起搏器置入术,治疗性操作,必选
37.80002,永久起搏器置换术,治疗性操作,必选
37.80003,三腔永久起搏器置入术,治疗性操作,必选
37.81001,单腔永久起搏器置入术,治疗性操作,必选
37.82001,频率应答单腔永久起搏器置入术,治疗性操作,必选
37.83001,双腔永久起搏器置入术,治疗性操作,必选
37.85001,单腔永久起搏器置换术,治疗性操作,必选
37.86001,频率应答单腔永久起搏器置换术,治疗性操作,必选
37.87001,双腔永久起搏器置换术,治疗性操作,必选
37.89001,起搏器装置去除术,治疗性操作,必选
37.89002,起搏器装置校正术,治疗性操作,必选
37.89003,起搏器装置修复术,治疗性操作,必选
37.91001,开胸心脏按摩术,,必选
37.93001,心包局部灌注治疗,治疗性操作,必选
37.94001,心脏除颤器置入术,治疗性操作,必选
37.94002,自动心脏复律器置入术[AICD置入术],治疗性操作,必选
37.94003,自动心脏复律器置换术,治疗性操作,必选
37.95001,心脏除颤器导线置入术,治疗性操作,必选
38.02001,颈动脉血栓切除术,,必选
38.02002,颈动脉探查术,,必选
38.02003,颈内静脉血栓切除术,,必选
38.03001,上肢动脉血栓切除术,,必选
38.03002,上肢静脉血栓切除术,,必选
38.03003,上肢血管切开探查术,,必选
38.03005,上肢动脉探查术,,必选
38.04001,腹主动脉血栓切除术,,必选
38.05001,肺动脉血栓切除术,,必选
38.05002,肺动脉探查术,,必选
38.05003,锁骨下动脉血栓切除术,,必选
38.05005,上腔静脉血栓切除术,,必选
38.06001,肠系膜上动脉血栓切除术,,必选
38.06003,髂动脉血栓切除术,,必选
38.06004,肠系膜上静脉血栓切除术,,必选
38.07002,门静脉血栓切除术,,必选
38.07003,门静脉探查术,,必选
38.07004,肾静脉血栓切除术,,必选
38.07005,下腔静脉血栓切除术,,必选
38.08001,股动脉血栓切除术,,必选
38.08002,下肢动脉血栓切除术,,必选
38.08003,下肢动脉探查术,,必选
38.09001,下肢静脉血栓切除术,,必选
38.09002,下肢静脉探查术,,必选
38.10002,动脉内膜剥脱术,,必选
38.12003,颈动脉内膜剥脱术,,必选
38.14001,主动脉内膜剥脱术,,必选
38.15001,肺动脉内膜剥脱术,,必选
38.16002,髂动脉内膜剥除术,,必选
38.16004,肾动脉内膜切除伴静脉补片修补术,,必选
38.18001,股动脉内膜剥脱术,,必选
38.18002,股动脉内膜剥脱伴血栓切除术,,必选
38.18003,腘动脉内膜剥脱伴补片修补术,,必选
38.18004,腘动脉内膜剥脱术,,必选
38.18005,下肢动脉内膜剥脱伴血栓切除术,,必选
38.18006,胫腓动脉内膜剥脱伴补片修补术,,必选
38.21001,血管活检,诊断性操作,必选
38.22001,经皮血管镜检查,诊断性操作,必选
38.24001,冠状血管光学相干断层扫描检查[OCT],诊断性操作,必选
38.25001,非冠状血管光学相干断层扫描检查[OCT],诊断性操作,必选
38.30001,动脉瘤切除伴吻合术,,必选
38.30002,血管切除伴吻合术,,必选
38.31001,脑血管切除伴吻合术,,必选
38.32001,颈动脉部分切除伴吻合术,,必选
38.32002,颈内动脉瘤切除伴吻合术,,必选
38.33001,上肢动脉瘤切除伴吻合术,,必选
38.34001,主动脉部分切除伴吻合术,,必选
38.34002,主动脉动脉瘤切除伴吻合术,,必选
38.34003,血管环矫治术,,必选
38.35001,肺动脉部分切除伴吻合术,,必选
38.35002,肺动脉吊带矫治术,,必选
38.37001,腹部静脉部分切除伴吻合术,,必选
38.38001,下肢动脉部分切除伴吻合术,,必选
38.42001,颈动脉部分切除伴颈总-颈内动脉人工血管搭桥术,,必选
38.42002,颈总动脉切除伴自体血管移植术,,必选
38.42003,颈动脉部分切除伴颈总-颈内动脉自体血管搭桥术,,必选
38.43001,肱动脉瘤切除伴自体血管移植术,,必选
38.43002,桡动脉部分切除伴桡尺动脉自体血管移植术,,必选
38.44001,腹主动脉部分切除伴人工血管置换术,,必选
38.44002,腹主动脉瘤切除伴人工血管置换术,,必选
38.45001,上腔静脉部分切除伴人工血管补片修补术,,必选
38.45002,锁骨下动脉瘤切除伴人工血管置换术,,必选
38.45003,上腔静脉部分切除伴人工血管置换术,,必选
38.45004,肺动脉瘤切除伴补片修补术,,必选
38.45005,保留主动脉瓣的主动脉根部置换术[David手术],,必选
38.45006,全主动脉弓人工血管置换并支架象鼻手术[Sun's手术],,必选
38.45007,部分主动脉弓人工血管置换术,,必选
38.45008,Bentall手术,,必选
38.45009,次全主动脉人工血管置换术,,必选
38.45010,全主动脉弓人工血管置换术,,必选
38.45011,支架象鼻术,,必选
38.45012,Carbol手术,,必选
38.45013,升主动脉部分切除伴人工血管置换术,,必选
38.45014,胸主动脉部分切除伴人工血管置换术,,必选
38.45015,肺动脉瘤切除伴人工血管置换术,,必选
38.45016,全主动脉人工血管置换术,,必选
38.45017,主动脉弓中断矫治术,,必选
38.45018,主动脉瘤切除伴人工血管置换术,,必选
38.45019,主动脉部分切除伴人工血管置换术,,必选
38.46001,髂动脉部分切除术伴人工血管置换术,,必选
38.46003,髂动脉瘤切除伴人工血管置换术,,必选
38.47001,下腔静脉部分切除伴人工血管置换术,,必选
38.48001,腘动脉瘤切除伴人工血管置换术,,必选
38.48002,腘动脉部分切除伴人工血管置换术,,必选
38.49001,下肢静脉部分切除伴人工血管置换术,,必选
38.49002,下肢静脉部分切除伴自体血管移植术,,必选
38.57001,阴茎背静脉结扎术,,必选
38.57002,经右心房下腔静脉破膜术,,必选
38.59001,大隐静脉高位结扎剥脱术,,必选
38.59002,大隐静脉剥脱术,,必选
38.59003,大隐静脉主干激光闭合术,,必选
38.59004,大隐静脉结扎术,,必选
38.59005,下肢静脉剥脱术,,必选
38.59006,小隐静脉高位结扎剥脱术,,必选
38.59007,小隐静脉剥脱术,,必选
38.59008,大隐静脉高位结扎电凝术,,必选
38.60010,静脉内异物取出术,,必选
38.60011,躯干部血管瘤切除术,,必选
38.60012,血管病损切除术,,必选
38.60013,血管球瘤切除术,,必选
38.61001,脊髓畸形血管切除术,,必选
38.61002,颅内动脉瘤切除术,,必选
38.61003,颅内畸形血管切除术,,必选
38.61005,椎管内畸形血管切除术,,必选
38.62002,颈静脉瘤切除术,,必选
38.62003,颈静脉扩张切除术,,必选
38.62005,颈动脉瘤切除术,,必选
38.62006,颈外动脉瘤切除术,,必选
38.62007,颈外静脉瘤切除术,,必选
38.63001,肱动脉瘤切除术,,必选
38.63002,上肢血管病损切除术,,必选
38.64001,腹主动脉瘤切除术,,必选
38.65001,头臂干动脉瘤切除[无名动脉瘤切除术],,必选
38.65002,头臂静脉病损切除术[无名静脉病损切除术],,必选
38.65003,肺动脉病损切除术,,必选
38.65004,胸腔镜下肺动脉病损切除术,,必选
38.66001,脾动脉瘤切除术,,必选
38.66002,肝动脉瘤切除术,,必选
38.67001,下腔静脉病损切除术,,必选
38.67003,门静脉部分切除术,,必选
38.67004,肝静脉病损切除术,,必选
38.67005,腹腔静脉瘤切除术,,必选
38.68001,腘动脉瘤切除术,,必选
38.68002,下肢动脉病损切除术,,必选
38.69001,下肢静脉病损切除术,,必选
38.7 001,腔静脉结扎术,,必选
38.7 002,腔静脉折叠术,,必选
38.7 003,上腔静脉滤器置入术,治疗性操作,必选
38.7 004,下腔静脉滤器置入术,治疗性操作,必选
38.7 007,下肢静脉滤器置入术,治疗性操作,必选
38.81002,颅内血管畸形夹闭术,,必选
38.81004,椎动脉结扎术,,必选
38.82002,颈静脉结扎术,,必选
38.82003,颈内动脉结扎术,,必选
38.82005,颈内静脉结扎术,,必选
38.82006,颈前静脉结扎术,,必选
38.82007,颈总动脉结扎术,,必选
38.82008,颈外动脉结扎术,,必选
38.83001,尺动脉结扎术,,必选
38.83002,肱动脉结扎术,,必选
38.83003,桡动脉结扎术,,必选
38.83004,上肢血管结扎术,,必选
38.85001,动脉导管结扎术,,必选
38.85006,肺动脉结扎术,,必选
38.85008,肋间动脉结扎术,,必选
38.85009,锁骨下动脉结扎术,,必选
38.85010,胸壁血管结扎术,,必选
38.85012,动脉导管未闭切断缝合术,,必选
38.85013,体-肺动脉侧支结扎术,,必选
38.85016,奇静脉结扎术,,必选
38.86001,肠系膜动脉结扎术,,必选
38.86002,大网膜动脉结扎术,,必选
38.86003,胆囊动脉结扎术,,必选
38.86004,腹壁血管结扎术,,必选
38.86005,腹膜血管结扎术,,必选
38.86006,肝动脉结扎术,,必选
38.86009,脾动脉结扎术,,必选
38.86012,髂动脉结扎术,,必选
38.86016,胃动脉结扎术,,必选
38.86019,子宫动脉结扎术,,必选
38.87001,腹部静脉结扎术,,必选
38.87002,卵巢动静脉高位结扎术,,必选
38.87003,门静脉结扎术,,必选
38.87008,子宫动静脉高位结扎术,,必选
38.87009,腹腔镜下卵巢动静脉高位结扎术,,必选
38.88002,髂内动脉结扎术,,必选
38.88005,下肢动脉结扎术,,必选
38.89002,下肢静脉结扎术,,必选
38.91001,动脉插管术,治疗性操作,必选
38.91601,肝动脉插管术,治疗性操作,必选
38.91602,髂内动脉插管术,治疗性操作,必选
38.92701,脐静脉插管术,治疗性操作,必选
38.93004,静脉插管术,治疗性操作,必选
38.93011,中心静脉导管置换术,治疗性操作,必选
38.93201,颈静脉插管术,治疗性操作,必选
38.93202,经皮颈静脉肝内门静脉-腔静脉置管术,治疗性操作,必选
38.93203,颈内静脉穿刺中心静脉置管术,治疗性操作,必选
38.93301,经外周静脉穿刺中心静脉插管术[PICC],治疗性操作,必选
38.93501,锁骨下静脉穿刺中心静脉置管术,治疗性操作,必选
38.93701,肝静脉插管术,治疗性操作,必选
38.93702,肾静脉插管术,治疗性操作,必选
38.93901,大隐静脉插管术,治疗性操作,必选
38.93902,股静脉穿刺置管术,治疗性操作,必选
38.94001,静脉缩短术,,必选
38.95001,为肾透析的静脉插管术,治疗性操作,必选
38.95002,为肾透析半永久静脉插管术,治疗性操作,必选
38.95003,为肾透析的临时静脉插管术,治疗性操作,必选
38.97002,引导下中心静脉置管术,治疗性操作,必选
38.98001,动脉穿刺术,治疗性操作,必选
38.98801,股动脉穿刺术,治疗性操作,必选
38.99002,静脉穿刺术,治疗性操作,必选
