北京临床版编码v8.0,北京临床版名称v8.0,医保版编码v2.0,医保版名称v2.0,备注
34.74005,胸廓畸形矫正术,34.7400x005,胸廓畸形矫正术,
34.74006,胸腔镜下胸廓畸形矫正术,34.7403,胸腔镜下胸廓畸形矫正术,
34.74007,鸡胸反NUSS手术,34.7400x007,鸡胸反NUSS手术,
34.74008,漏斗胸NUSS手术,34.7400x008,漏斗胸NUSS手术,
34.74009,胸腔镜下鸡胸反NUSS手术,34.7400x009,胸腔镜下鸡胸反NUSS手术,
34.74010,胸腔镜下漏斗胸NUSS手术,34.7400x010,胸腔镜下漏斗胸NUSS手术,
34.74011,胸腔镜下漏斗胸矫正术,34.7402,胸腔镜下漏斗胸矫正术,
34.74012,漏斗胸Wang手术,34.7400x011,漏斗胸Wang手术,
34.79001,胸壁修补术,34.7900x001,胸壁修补术,
34.79002,关胸术,34.7900x002,关胸术,
34.79003,胸壁缺损修补术(人工材料),34.7900x003,胸壁缺损修补术(人工材料),
34.79004,胸壁缺损修补术(自体材料),34.7900x004,胸壁缺损修补术(自体材料),
34.81002,膈肌病损切除术,34.8101,横膈病损切除术,
34.81003,膈肌部分切除术,34.8102,横膈部分切除术,
34.81004,胸腔镜下横膈病损切除术,34.8100x001,胸腔镜下横膈病损切除术,
34.81005,腹腔镜下横膈病损切除术,34.8100x002,腹腔镜下横膈病损切除术,
34.82002,膈肌缝合术,34.8200x002,膈肌缝合术,
34.82003,膈肌裂伤缝合术,34.8200,横膈裂伤缝合术,
34.83001,胸-肠瘘管切除术,34.8303,胸肠瘘管切除术,
34.83002,胸-腹瘘管切除术,34.8301,胸腹瘘管切除术,
34.83003,胸-胃瘘管切除术,34.8302,胸胃瘘管切除术,
34.84003,膈肌修补术,34.8400x003,膈肌修补术,
34.85001,膈肌起搏器置入术,34.8500,横膈起搏器置入,
34.89002,膈肌脓肿引流术,34.8900x002,膈肌脓肿引流术,
34.89003,膈肌切开术,34.8900x003,膈肌切开术,
34.91003,胸腔穿刺术,34.9101,胸腔穿刺抽液术,
34.91004,超声引导下胸腔穿刺术,34.9103,超声引导下胸腔穿刺术,
34.91005,CT引导下胸腔穿刺术,34.9104,CT引导下胸腔穿刺术,
34.92001,化学胸膜固定术,34.9201,化学胸膜固定术,
34.92002,胸腔内药物注射,34.9202,胸膜腔药物注射治疗,
34.92003,胸腔镜下化学胸膜固定术,34.9203,胸腔镜下化学胸膜固定术,
34.93001,胸膜修补术,34.9300,胸膜修补术,
34.93002,胸腔镜下胸膜修补术,34.9302,胸腔镜下胸膜修补术,
34.99001,胸膜固定术,34.9902,胸膜固定术,
34.99003,胸腔镜下胸膜固定术,34.9905,胸腔镜下胸膜固定术,
34.99004,胸腔镜下胸腔粘连松解术,34.9904,胸腔镜下胸腔粘连松解术,
34.99006,胸腔粘连松解术,34.9901,胸腔粘连松解术,
34.99007,胸膜粘连松解术,34.9901,胸腔粘连松解术,
35.01001,主动脉瓣闭式扩张术,35.0101,主动脉瓣闭式扩张术,
35.01002,经皮主动脉瓣探查术,35.0100x002,经皮主动脉瓣探查术,
35.02001,二尖瓣闭式扩张术,35.0201,二尖瓣闭式扩张术,
35.02003,经皮二尖瓣探查术,35.0200x003,经皮二尖瓣探查术,
35.03001,肺动脉瓣闭式扩张术,35.0301,肺动脉瓣闭式扩张术,
35.03002,经皮肺动脉瓣探查术,35.0300x002,经皮肺动脉瓣探查术,
35.04001,经皮三尖瓣探查术,35.0400x001,三尖瓣探查术,
35.04002,三尖瓣闭式扩张术,35.0401,三尖瓣闭式扩张术,
35.05001,经皮主动脉瓣置入术[TAVI术],35.0501,经导管主动脉瓣植入术,
35.05002,经皮主动脉瓣置换术[TAVR术],35.0502,经导管主动脉瓣置换术,
35.06001,经胸主动脉瓣支架置入术,35.0600x001,经胸主动脉瓣支架置入术,
35.06002,经心尖主动脉瓣生物瓣膜置换术,35.0600x002,经心尖主动脉瓣生物瓣膜置换术,
35.07001,经皮肺动脉瓣置入术[PPVI术],35.0701,经导管肺动脉瓣植入术,
35.08001,经胸肺动脉瓣支架置入术,35.0800x001,经胸肺动脉瓣支架置入术,
35.08002,经心尖肺动脉瓣生物瓣膜置换术,35.0800x002,经心尖肺动脉瓣生物瓣膜植入术,
35.11001,直视下主动脉瓣成形术,35.1101,主动脉瓣成形术,
35.11002,主动脉瓣切开探查术,35.1100x004,主动脉瓣切开探查术,
35.11003,胸腔镜下主动脉瓣成形术,35.1100x005,胸腔镜下主动脉瓣成形术,
35.12001,直视下二尖瓣成形术,35.1201,二尖瓣成形术,
35.12002,直视下二尖瓣切开扩张术,35.1200x002,二尖瓣切开扩张术,
35.12003,胸腔镜下二尖瓣成形术,35.1202,胸腔镜下二尖瓣成形术,
35.12004,二尖瓣切开探查术,35.1200x003,二尖瓣切开探查术,
35.13001,直视下肺动脉瓣成形术,35.1301,肺动脉瓣成形术,
35.13002,直视下肺动脉瓣切开扩张术,35.1300x002,肺动脉瓣切开扩张术,
35.13003,胸腔镜下肺动脉瓣成形术,35.1300x005,胸腔镜下肺动脉瓣成形术,
35.13004,直视下肺动脉瓣修补术,35.1300x004,肺动脉瓣修补术,
35.13005,肺动脉瓣切开探查术,35.2000x003,肺动脉瓣切开探查术,
35.14001,直视下三尖瓣成形术,35.1401,三尖瓣成形术,
35.14002,三尖瓣下移矫治术,35.1400x002,三尖瓣下移矫治术[Ebstein畸形],
35.14003,直视下三尖瓣切开扩张术,35.1400x003,三尖瓣切开扩张术,
35.14004,胸腔镜下三尖瓣成形术,35.1402,胸腔镜下三尖瓣成形术,
35.14005,三尖瓣切开探查术,35.2000x002,三尖瓣切开探查术,
35.21001,主动脉瓣生物瓣膜置换术,35.2101,主动脉瓣生物瓣膜置换术,
35.21002,Ross手术,35.2100x002,自体肺动脉移植术[Ross手术],
35.21003,主动脉瓣置换伴升主动脉置换术[Wheat's手术],35.2100x003,主动脉瓣置换伴升主动脉置换术[Wheat's手术],
35.21004,主动脉根部扩大伴主动脉瓣生物瓣膜置换术,35.2100x004,主动脉根部扩大伴主动脉瓣生物瓣膜置换术,
35.21005,胸腔镜下主动脉瓣生物瓣膜置换术,35.2100x005,胸腔镜下主动脉瓣生物瓣膜置换术,
35.22001,主动脉瓣机械瓣膜置换术,35.2201,主动脉瓣机械瓣膜置换术,
35.22002,胸腔镜下主动脉瓣机械瓣膜置换术,35.2200x004,胸腔镜下主动脉瓣机械瓣膜置换术,
35.22003,主动脉瓣机械瓣膜置换伴升主动脉置换术[Wheat's手术],35.2200x003,主动脉瓣机械瓣膜置换伴升主动脉置换术[Wheat's手术],
35.22004,主动脉根部扩大伴主动脉瓣机械瓣膜置换术,35.2200x002,主动脉根部扩大伴主动脉瓣机械瓣膜置换术,
35.23001,二尖瓣生物瓣膜置换术,35.2301,二尖瓣生物瓣膜置换术,
35.23002,胸腔镜下二尖瓣生物瓣置换术,35.2302,胸腔镜下二尖瓣生物瓣置换术,
35.23003,经心尖二尖瓣生物瓣膜植入术,35.2300x003,经心尖二尖瓣生物瓣膜植入术,
35.23004,经心尖二尖瓣生物瓣膜置换术,35.2300x003,经心尖二尖瓣生物瓣膜植入术,
35.24001,二尖瓣机械瓣膜置换术,35.2401,二尖瓣机械瓣膜置换术,
35.24002,胸腔镜下二尖瓣机械瓣膜置换术,35.2402,胸腔镜下二尖瓣机械瓣膜置换术,
35.25001,肺动脉瓣生物瓣膜置换术,35.2501,肺动脉瓣生物瓣膜置换术,
35.25002,胸腔镜下肺动脉瓣生物瓣膜置换术,35.2500x002,胸腔镜下肺动脉瓣生物瓣膜置换术,
35.26001,肺动脉瓣机械瓣膜置换术,35.2601,肺动脉瓣机械瓣膜置换术,
35.26002,胸腔镜下肺动脉瓣机械瓣膜置换术,35.2600x002,胸腔镜下肺动脉瓣机械瓣膜置换术,
35.27001,三尖瓣生物瓣膜置换术,35.2701,三尖瓣生物瓣膜置换术,
35.27002,胸腔镜下三尖瓣生物瓣膜置换术,35.2702,胸腔镜下三尖瓣生物瓣膜置换术,
35.28001,三尖瓣机械瓣膜置换术,35.2801,三尖瓣机械瓣膜置换术,
35.28002,胸腔镜下三尖瓣机械瓣膜置换术,35.2802,胸腔镜下三尖瓣机械瓣膜置换术,
35.31001,心脏乳头肌修补术,35.3101,心脏乳头肌修补术,
35.31002,心脏乳头肌切开术,35.3100x001,心脏乳头肌切开术,
35.32001,腱索切断术,35.3202,腱索切断术,
35.32002,腱索修补术,35.3201,腱索修补术,
35.32003,人工腱索移植术,35.3200x003,腱索移植术,
35.32004,腱索转移术,35.3200x004,腱索转移术,
35.33001,二尖瓣瓣环成形术,35.3300x001,二尖瓣瓣环成形术,
35.33002,三尖瓣瓣环成形术,35.3300x002,三尖瓣瓣环成形术,
35.33003,三尖瓣瓣环折叠术,35.3300x003,三尖瓣瓣环折叠术,
35.33004,主动脉瓣瓣环成形术,35.3300x004,主动脉瓣瓣环成形术,
35.34001,右心室动脉圆锥切除术,35.3400x001,右心室动脉圆锥切除术,
35.34003,右室流出道疏通术,35.3400x003,右室流出道疏通术,
35.34004,左室流出道疏通术,35.3400x004,左室流出道疏通术,
35.34005,右室漏斗部病损切除术,35.3400x006,右室漏斗部病损切除术,
35.35001,主动脉瓣膜下环切除术,35.3501,主动脉瓣膜下环切除术,
35.35002,主动脉瓣瓣上狭窄矫治术,35.3500x009,主动脉瓣瓣上狭窄矫治术,
35.35003,改良Konno手术,35.3500x011,改良Konno手术,
35.39001,主动脉窦修补术[Valsalva手术],35.3901,主动脉窦修补术,
35.41001,房间隔缺损扩大术,35.4100x001,房间隔缺损扩大术,
35.41002,卵圆孔缺损扩大术,35.4100x002,卵圆孔缺损扩大术,
35.42001,布莱洛克-汉隆手术[Blalock-Hanlon手术],35.4201,布莱洛克-汉隆手术,
35.42002,房间隔开窗术,35.4200x002,房间隔开窗术,
35.42003,经皮房间隔造口术,35.4200x003,经皮房间隔造口术,
35.42005,室间隔开窗术,35.4200x005,室间隔开窗术,
35.42006,室间隔缺损扩大术,35.4200x006,室间隔缺损扩大术,
35.42007,卵圆孔开窗术,35.4200x007,卵圆孔开窗术,
35.51001,直视下房间隔缺损人造补片修补术,35.5100x001,房间隔缺损人造补片修补术,
35.51002,经胸房间隔缺损闭式伞堵修补术,35.5100x002,经胸房间隔缺损闭式封堵术,
35.51003,卵圆孔未闭人造补片修补术,35.5100x003,卵圆孔未闭人造补片修补术,
35.51004,胸腔镜下房间隔缺损人造补片修补术,35.5100x004,胸腔镜下房间隔缺损人造补片修补术,
35.51005,经胸卵圆孔未闭闭式封堵术,35.5100x005,经胸卵圆孔未闭闭式封堵术,
35.52001,经皮房间隔缺损封堵术,35.5200x001,经皮房间隔缺损封堵术,
35.52002,经皮卵圆孔未闭封堵术,35.5200x002,经皮卵圆孔未闭封堵术,
35.53001,室间隔缺损人造补片修补术,35.5300x001,室间隔缺损人造补片修补术,
35.53003,经胸室间隔缺损闭式伞堵修补术,35.5300x003,经胸室间隔缺损闭式封堵术,
35.54002,房室通道人造补片修补术,35.5400x005,房室通道人造补片修补术,
35.54003,心内膜垫缺损人造补片修补术,35.5400x003,心内膜垫缺损人造补片矫治术,
35.55001,经皮室间隔缺损封堵术,35.5500x001,经皮室间隔缺损封堵术,
35.61002,房间隔缺损组织补片修补术,35.6101,房间隔缺损组织补片修补术,
35.61003,卵圆孔未闭组织补片修补术,35.6102,卵圆孔未闭组织补片修补术,
35.61004,胸腔镜下房间隔缺损组织补片修补术,35.6100x001,胸腔镜下房间隔缺损组织补片修补术,
35.62001,室间隔缺损组织补片修补术,35.6201,室间隔缺损组织补片修补术,
35.63002,心内膜垫缺损组织补片修补术,35.6300x002,心内膜垫缺损组织补片矫治术,
35.71001,房间隔缺损修补术,35.7100x009,房间隔缺损修补术,
35.71002,卵圆孔未闭修补术,35.7100x002,卵圆孔未闭修补术,
35.71003,房间隔部分闭合术,35.7100x003,房间隔部分闭合术,
35.71004,房间隔开窗闭合术,35.7100x004,房间隔开窗闭合术,
35.71005,单心房矫治术,35.7100x008,单心房矫治术,
35.71006,胸腔镜下房间隔缺损修补术,35.7101,胸腔镜下房间隔缺损修补术,
35.71007,胸腔镜下卵圆孔未闭修补术,35.7100x010,胸腔镜下卵圆孔未闭修补术,
35.72001,室间隔缺损修补术,35.7200x001,室间隔缺损修补术,
35.72002,多发室间隔缺损修补术,35.7200x002,多发室间隔缺损修补术,
35.72003,胸腔镜下室间隔缺损修补术,35.7201,胸腔镜下室间隔缺损修补术,
35.73002,心内膜垫缺损修补术,35.7300x002,心内膜垫缺损矫治术,
35.73003,右房右室异常通道修补术,35.7300x003,右房右室异常通道修补术,
35.73005,胸腔镜下心内膜垫缺损修补术,35.7301,胸腔镜下心内膜垫缺损修补术,
35.81001,法洛四联症根治术,35.8100x001,法乐氏四联症根治术,
35.81006,右室流出道补片修补术,35.8100x005,右室流出道补片修补术,
35.81007,左室流出道补片修补术,35.8100x006,左室流出道补片修补术,
35.82006,部分肺静脉异位引流矫正术,35.8200x006,部分型肺静脉畸形引流矫治术,
35.82007,完全肺静脉异位引流矫正术,35.8201,完全肺静脉异位引流矫正术,
35.82008,胸腔镜下肺静脉畸形引流矫治术,35.8200x008,胸腔镜下肺静脉畸形引流矫治术,
35.82009,改良warden手术,35.8200x013,改良warden手术,
35.83001,完全动脉干矫正术,35.8307,完全动脉干矫正术,
35.83002,完全动脉干矫正伴室间隔缺损假体置入术,35.8308,完全动脉干矫正伴室间隔缺损假体置入术,
35.83003,主动脉-肺动脉间隔缺损修补术,35.8304,主动脉-肺动脉间隔缺损修补术,
35.84001,大血管转位矫正术,35.8400x001,大血管转位矫正术,
35.84002,Nikaidoh手术,35.8400x002,Nikaidoh手术,
35.84003,双动脉根部调转术,35.8400x003,双动脉根部调转术,
35.91001,马斯塔德手术[Mustard手术],35.9101,马斯塔德手术,
35.91002,心房内调转术[Senning手术],35.9102,心房内调转术,
35.92001,右心室-肺动脉分流术[Rastelli手术],35.9200x001,右心室-肺动脉分流术[Rastelli手术],
35.92002,REV手术,35.9202,REV手术,
35.92003,单源化手术,35.9200x004,单源化手术,
35.93001,左心室尖-主动脉分流术,35.9302,左心室尖-主动脉分流术,
35.93002,心室内隧道修补术,35.9300x002,心室内隧道修补术,
35.93003,左心室-主动脉隧道修补术,35.9300x003,左心室-主动脉隧道修补术,
35.93004,一个半心室矫治术,35.9300x004,一个半心室矫治术,
35.93005,Damus-Kaye-Stansel手术,35.9300x005,Damus-Kaye-Stansel手术,
35.93006,左心室双出口矫治术,35.9301,左心室双出口直视修复术,
35.94001,方坦手术[Fontan手术],35.9401,方坦手术,
35.94002,半方坦手术[半Fontan手术],35.9400x006,半方坦手术[半Fontan手术],
35.94003,右心耳-肺动脉不带瓣管道吻合术,35.9400x003,右心耳-肺动脉不带瓣管道吻合术,
35.94004,右心耳-肺动脉带瓣管道吻合术,35.9400x004,右心耳-肺动脉带瓣管道吻合术,
35.95001,人造心脏瓣膜重新缝合术,35.9500x001,人造心脏瓣膜重新缝合术,
35.95002,心脏间隔补片再缝合术,35.9501,心脏间隔补片再缝合术,
35.95003,主动脉瓣瓣周漏修补术,35.9500x003,主动脉瓣瓣周漏修补术,
35.95004,二尖瓣瓣周漏修补术,35.9500x004,二尖瓣瓣周漏修补术,
35.95005,三尖瓣瓣周漏修补术,35.9500x005,三尖瓣瓣周漏修补术,
35.95006,经皮肺动脉瓣瓣周漏修补术,35.9500x006,经皮肺动脉瓣瓣周漏修补术,
35.96002,经皮二尖瓣球囊扩张成形术,35.9604,经导管二尖瓣球囊扩张成形术,
35.96003,经皮肺动脉瓣球囊扩张成形术,35.9601,经导管肺动脉瓣球囊扩张成形术,
35.96004,经皮主动脉瓣球囊扩张成形术,35.9602,经导管主动脉瓣球囊扩张成形术,
35.96005,经皮三尖瓣球囊扩张成形术,35.9603,经导管三尖瓣球囊扩张成形术,
35.96006,经皮主动脉瓣瓣周漏封堵术,35.9600x008,经皮主动脉瓣瓣周漏封堵术,
35.97001,经皮二尖瓣生物瓣置换术,35.9700x001,经皮二尖瓣生物瓣置换术,
35.97002,经皮二尖瓣机械瓣置换术,35.9700x002,经皮二尖瓣机械瓣置换术,
35.97003,经皮二尖瓣钳夹术(MitraClip),35.9700x003,经皮二尖瓣钳夹术(MitraClip),
35.97004,经皮二尖瓣瓣周漏封堵术,35.9700x006,经皮二尖瓣瓣周漏封堵术,
35.98001,房间隔缺损封堵器取出术,35.9800x001,房间隔缺损封堵器取出术,
35.98002,室间隔缺损封堵器取出术,35.9800x002,室间隔缺损封堵器取出术,
35.99001,三尖瓣瓣膜切除术(非瓣膜置换),35.9900x001,三尖瓣瓣膜切除术(非瓣膜置换),
35.99002,三尖瓣闭合术(单心室),35.9900x002,三尖瓣闭合术(单心室),
36.03002,直视下冠状动脉内膜剥脱术,36.0300x002,冠状动脉内膜剥脱术,
36.03003,直视下冠状动脉内膜剥脱术伴补片移植术,36.0300x003,冠状动脉内膜剥脱术伴补片移植术,
36.03006,冠状动脉开口成形术,36.0300x006,冠状动脉开口成形术,
36.04001,经皮冠状动脉内溶栓剂注射,36.0400,冠状动脉内血栓溶解药输注,
36.06003,经皮冠状动脉支架置入术,36.0602,冠状动脉裸支架置入术,
36.06007,冠状动脉药物涂层支架置入术,36.0601,冠状动脉药物涂层支架置入术,
36.07003,经皮冠状动脉药物洗脱支架置入术,36.0700,药物洗脱冠状动脉支架置入,
36.07004,经皮冠状动脉覆膜支架置入术,36.0700x004,经皮冠状动脉覆膜支架置入术,
36.07005,经皮冠状动脉生物可吸收支架植入术,36.0701,冠状动脉生物可吸收支架置入术,
36.10001,主动脉-冠状动脉搭桥术,36.1000x001,主动脉-冠状动脉搭桥术,
36.10002,带蒂左冠状动脉移植术,36.1000x002,带蒂左冠状动脉移植术,
36.11001,主动脉-一支冠状动脉搭桥术,36.1100,一根冠状动脉的(主动脉)冠状动脉旁路移植,
36.12001,主动脉-二支冠状动脉搭桥术,36.1200,二根冠状动脉的(主动脉)冠状动脉旁路移植,
36.13001,主动脉-三支冠状动脉搭桥术,36.1300,三根冠状动脉的(主动脉)冠状动脉旁路移植,
36.14001,主动脉-多支冠状动脉搭桥术,36.1400,四根或以上冠状动脉的(主动脉)冠状动脉旁路移植,
36.15001,单侧乳内动脉-冠状动脉搭桥术,36.1500,单乳房内动脉-冠状动脉旁路移植,
36.16001,双侧乳内动脉-冠状动脉搭桥术,36.1600,双乳房内动脉-冠状动脉旁路移植,
36.17001,胃网膜动脉-冠状动脉搭桥术,36.1700x001,胃网膜动脉-冠状动脉搭桥术,
36.19001,左锁骨下动脉-左冠状动脉吻合术,36.1900x001,左锁骨下动脉-左冠状动脉吻合术,
36.19002,颈总动脉-冠状动脉吻合术,36.1900x002,颈总动脉-冠状动脉吻合术,
36.2001,动脉植入心脏血管重建术,36.2x00,动脉植入的心脏血管再形成术,
36.31001,心肌激光打孔术,36.3100x001,心肌激光打孔术,
36.33001,胸腔镜下经心肌血管再成形术,36.3300,内镜下经心肌血管再形成术,
36.34001,经皮经心肌血管再形成术,36.3400,经皮经心肌血管再形成术,
36.39001,心脏网膜固定术,36.3900x001,心脏网膜固定术,
36.39002,心肌细胞移植术,36.3901,心肌细胞移植术,
36.91001,冠状血管动脉瘤修补术,36.9100,冠状血管动脉瘤修补术,
36.99001,冠状动脉结扎术,36.9902,冠状动脉结扎术,
36.99002,冠状动脉探查术,36.9900x002,冠状动脉探查术,
36.99003,经皮冠状动脉-肺动脉瘘封堵术,36.9901,冠状动脉肺动脉瘘封堵术,
36.99004,冠状动脉瘘修补术,36.9903,冠状动脉瘘修补术,
36.99005,经皮冠状动脉-右房瘘封堵术,36.9900x005,经皮冠状动脉-右房瘘封堵术,
37.0001,心包穿刺术,37.0x00x002,心包穿刺引流术,
37.10001,心脏切开探查术,37.1000x004,心脏切开探查术,
37.10002,心肌松解术,37.1000x007,心肌松解术,
37.11001,心肌切开术,37.1101,心肌切开术,
37.11002,心内膜切开术,37.1102,心内膜切开术,
37.11003,心室切开术,37.1103,心室切开术,
37.11004,心房切开血栓清除术,37.1100x004,心房血栓清除术,
37.11005,冠状动脉肌桥切断术,37.1100x005,冠状动脉肌桥切断术,
37.11006,心室切开血栓清除术,37.1100x009,心室血栓清除术,
37.11007,心房切开术,37.1104,心房切开术,
37.12001,心包开窗术,37.1203,心包开窗术,
37.12003,心包切开引流术,37.1204,心包切开引流术,
37.12004,心包粘连松解术,37.1201,心包粘连松解术,
37.12005,心包切开探查术,37.1200x005,心包切开探查术,
37.12006,心包异物取出术,37.1202,心包异物取出术,
37.12008,胸腔镜下心包切开引流术,37.1200x008,胸腔镜下心包切开引流术,
37.12009,胸腔镜下心包开窗术,37.1200x011,胸腔镜下心包开窗术,
37.20001,非侵入性程序化电刺激(NIPS),37.2000,非侵入性程序化电刺激(NIPS),
37.20002,经食道心脏调搏术,37.2000x003,经食道心脏调搏术,
37.21001,右心导管置入,37.2100,右心导管置入,
37.22001,左心导管置入,37.2200,左心导管置入,
37.23001,左右心联合导管置入,37.2300,联合的右心和左心导管置入,
37.24001,心包活检术,37.2400,心包活组织检查,
37.24002,胸腔镜下心包活检术,37.2401,胸腔镜下心包活组织检查,
37.25001,经皮心肌活检,37.2500x001,经皮心肌活检,
37.25002,心肌活检术,37.2501,心肌活组织检查,
37.26001,侵入性心电生理检查,37.2600x001,术中心脏电生理检查,
37.27001,心脏标测图,37.2700,心脏标测图,
37.28002,心腔内超声心动图[ICE],37.2800,心内超声心动图,
37.29001,希氏束电图,37.2901,希氏束电图,
37.31001,心包部分切除术,37.3102,心包部分切除术,
37.31002,心包病损切除术,37.3103,心包病损切除术,
37.31004,心包剥脱术,37.3101,心包剥脱术,
37.31005,胸腔镜下心包病损切除术,37.3104,胸腔镜下心包病损切除术,
37.32002,心脏动脉瘤修补术,37.3202,心脏动脉瘤修补术,
37.33001,经胸心脏射频消融改良迷宫术,37.3300x024,经胸心脏射频消融改良迷宫术,
37.33002,心房病损切除术,37.3301,心房病损切除术,
37.33003,心肌部分切除术,37.3307,心肌部分切除术,
37.33004,心室病损切除术,37.3305,心室病损切除术,
37.33006,心室异常肌束切除术,37.3300x006,心室异常肌束切除术,
37.33008,心脏病损切除术,37.3300x008,心脏病损切除术,
37.33009,三房心矫治术,37.3300x009,三房心矫治术,
37.33010,经胸心脏微波消融术,37.3300x025,经胸心脏微波消融术,
37.33011,心房部分切除术,37.3304,心房部分切除术,
37.33012,右心房减容术,37.3300x022,右心房减容术,
37.33013,左心房减容术,37.3300x023,左心房减容术,
37.33014,右心耳切除术,37.3300x028,右心耳切除术,
37.33015,右心耳结扎术,37.9900x002,右心耳结扎术,
37.33016,右心室双腔心矫治术,37.3300x020,右室双腔心矫治术,
37.33017,左心室双心室矫治术,37.3300x021,左室双腔心矫治术,
37.34001,经皮心脏射频消融术,37.3401,经导管心脏射频消融术,
37.34002,经皮心脏冷冻消融术,37.3403,经导管心脏冷冻消融术,
37.34003,经皮心脏化学消融术,37.3404,经导管心脏化学消融术,
37.34004,经皮心脏微波消融术,37.3405,经导管心脏微波消融术,
37.34005,经皮环肺静脉电隔离术,37.3400x001,经皮环肺静脉电隔离术,
37.34006,经皮室间隔心肌消融术(PTSMA),37.3400x002,经皮室间隔心肌消融术（PTSMA）,
37.34007,经皮心脏射频消融改良迷宫术,37.3402,经导管心脏射频消融改良迷宫术,
37.34008,经皮右心耳封堵术,37.9900x003,经皮右心耳封堵术,
37.35002,改良Morrow手术,37.3501,改良Morrow手术,
37.35003,心室减容术[Batista手术],37.3502,心室减容术,
37.35004,Morrow手术,37.3500x005,Morrow手术,
37.35005,经皮左心室减容重塑(伞样)装置置入术,37.3500x004,经皮左心室减容重塑(伞样)装置置入术,
37.36001,胸腔镜下左心耳切除术,37.3600x001,胸腔镜下左心耳切除术,
37.36003,左心耳切除术,37.3600x005,左心耳切除术,
37.36004,左心耳夹闭术,37.3600x006,左心耳夹闭术,
37.36005,左心耳结扎术,37.3600x007,左心耳结扎术,
37.36006,胸腔镜下左心耳结扎术,37.3600x008,胸腔镜下左心耳结扎术,
37.37001,胸腔镜下心房病损切除术,37.3701,胸腔镜下心房病损切除术,
37.37002,胸腔镜下心脏射频消融术,37.3702,胸腔镜下心脏射频消融术,
37.37003,胸腔镜下心脏射频消融改良迷宫术,37.3703,胸腔镜下心脏射频消融改良迷宫术,
37.37004,胸腔镜下心脏病损切除术,37.3704,胸腔镜下心脏病损切除术,
37.37005,胸腔镜下三房心矫治术,37.3300x029,胸腔镜下三房心矫治术,
37.41001,心脏支持装置置入术(CSD),37.4100,围绕心脏的心脏假体支持装置植入术,
37.49001,心包修补术,37.4900x001,心包修补术,
37.49002,心脏破裂修补术,37.4900x002,心脏破裂修补术,
37.49004,心房折叠术,37.4903,心房折叠术,
37.49005,心室修补术,37.4900x005,心室修补术,
37.49007,室壁瘤折叠术,37.4900x007,室壁瘤折叠术,
37.49008,经皮心室重建术,37.4900x008,经皮心室重建术,
37.49014,改良心室修补术,37.4900x014,改良心室修补术,
37.49015,心房修补术,37.4900x015,心房修补术,
37.49016,心室折叠术,37.4900x016,心室折叠术,
37.49017,经皮室壁瘤封堵术,37.4900x017,经皮室壁瘤封堵术,
37.49018,经胸室壁瘤封堵术,37.4900x018,经胸室壁瘤封堵术,
37.51001,心脏移植术,37.5100,心脏移植术,
37.52001,全人工心脏移植术,37.5200x001,全人工心脏移植术,
37.53001,内置式全人工心脏置换术,37.5300x001,人工心脏的置换术或修补术,
37.54001,内置式全人工心脏部分置换术,37.5400,全部置换心脏系统的其他可置入成分置换或修补术,
37.55001,内置式全人工心脏去除术,37.5500,去除内置的双心室心脏置换系统,
37.60001,外置式人工心脏置入术,37.6000,植入或置入双心室心脏外置式辅助系统,
37.61003,主动脉球囊反搏装置置入术[IABP手术],37.6101,主动脉球囊反搏置入术,
37.62001,心脏泵置入术,37.6201,心脏泵置入术,
37.62002,心脏辅助系统置入术(临时性外置式),37.6200x002,心脏辅助系统置入术,
37.63001,经胸心脏辅助装置置换术,37.6301,心脏辅助系统置换术,
37.64001,心脏辅助装置去除术,37.6400x001,心脏辅助系统去除术,
37.65003,外置式单心室心脏辅助系统置入术,37.6500x001,外置式心脏辅助系统置入术,
37.66001,左心室辅助装置置入术[LVAD置入术],37.6600x001,左心室辅助系统置入术[LVAD置入术],
37.66002,右心室辅助装置置入术[RVAD置入术],37.6600x002,右心室辅助系统置入术[RVAD置入术],
37.67001,心脏刺激系统置入术,37.6700,置入心脏刺激系统,
37.68001,经皮心脏辅助装置置换术,37.6800x001,经皮心脏辅助装置置换术,
37.68002,经皮心脏辅助装置置入术,37.6800x002,经皮心脏辅助装置置入术,
37.68003,经皮导管左心辅助装置置入术[Impella导管心室辅助系统置入],37.6800x003,经皮左心室辅助装置置入术[Impella导管心室辅助系统置入],
37.68004,经皮右心室辅助装置置入术[RVAD置入术],37.6800x004,经皮右心室辅助装置置入术[RVAD置入术],
37.68005,经皮左心室辅助装置置入术[LVAD置入术],37.6800x005,经皮左心室辅助装置置入术[LVAD置入术],
37.71001,首次经静脉心室电极置入术,37.7100,首次经静脉入心室置入导线[电极],
37.72001,首次经静脉心房和心室电极置入术,37.7200,首次经静脉入心房和心室置入导线[电极],
37.73001,首次经静脉心房电极置入术,37.7300,首次经静脉入心房置入导线[电极],
37.74001,心外膜电极置换术,37.7402,心外膜电极置换术,
37.74002,心外膜电极置入术,37.7401,心外膜电极置入术,
37.75002,心脏起搏器电极调整术,37.7501,心脏起搏器电极调整术,
37.76001,经静脉心房和心室电极置换术,37.7600x002,导线[电极]置换术,
37.77002,心脏电极去除术,37.7701,心脏电极去除术,
37.78001,经静脉临时起搏器置入术,37.7800,暂时性经静脉起搏器系统的置入,
