北京临床版编码v7.0,北京临床版名称v7.0,国家临床版编码2.0,附加代码,国家临床版名称2.0,
B74.801,恶丝虫病,B74.800x001,,恶丝虫病,B74.800x001
B74.901,丝虫病,B74.900,,丝虫病,B74.900
B74.902,丝虫性乳糜尿,B74.901,,丝虫病性乳糜尿,B74.901
B74.903,丝虫性外阴象皮肿,B74.900x003,,丝虫性外阴象皮肿,B74.900x003
B74.904,丝虫性象皮肿,B74.902,,丝虫性象皮病,B74.902
B74.905,淋巴丝虫病,B74.900x005,,淋巴丝虫病,B74.900x005
B75xx01,旋毛虫病,B75.x00,,旋毛虫病,B75.x00
B76.001,十二指肠钩虫病,B76.000,,十二指肠钩虫病,B76.000
B76.102,美洲钩虫病,B76.100,,美洲钩虫病,B76.100
B76.901,肠道钩虫病,B76.902,,肠道钩虫病,B76.902
B76.902,钩虫病,B76.900,,钩虫病,B76.900
B76.903,皮肤蠕虫蚴移行症,B76.900x003,,皮肤蠕虫蚴移行症,B76.900x003
B77.001+K93.8*,肠蛔虫病,B77.000x001,,肠蛔虫病,B77.000x001
B77.801,胆道蛔虫病,B77.803,,胆道蛔虫病,B77.803
B77.802,肝管蛔虫病,B77.800x002,,肝管蛔虫病,B77.800x002
B77.803+J17.3*,急性蛔蚴性肺炎,B77.801?,J17.3*,急性蛔蚴性肺炎,B77.801+J17.3*
B77.901,蛔虫病,B77.900,,蛔虫病,B77.900
B78.001,肠道粪圆线虫病,B78.000,,肠道类圆线虫病,B78.000
B78.101+L99.8*,皮肤粪圆线虫病,B78.100,,皮肤类圆线虫病,B78.100
B78.701,播散性粪圆线虫病,B78.700,,播散性类圆线虫病,B78.700
B78.901,粪圆线虫病,B78.901,,粪类圆线虫感染,B78.901
B79xx01,鞭虫病,B79.x00,,鞭虫病,B79.x00
B80xx01,蛲虫病,B80.x00,,蛲虫病,B80.x00
B81.001,异尖线虫病,B81.000,,异尖线虫病,B81.000
B81.101,肠道毛细线虫病,B81.100,,肠道毛细线虫病,B81.100
B81.201,毛圆线虫病,B81.200,,毛圆线虫病,B81.200
B81.301,肠道血管圆线虫病,B81.300,,肠道血管圆线虫病,B81.300
B81.401,混合型肠道蠕虫病,B81.400,,混合型肠道蠕虫病,B81.400
B81.801,结节线虫病,B81.800x001,,结节线虫病,B81.800x001
B81.802,三齿线虫病,B81.800x002,,三齿线虫病,B81.800x002
B82.001,肠道蠕虫病,B82.000,,肠道蠕虫病,B82.000
B82.901,肠道寄生虫病,B82.900,,肠道寄生虫病,B82.900
B83.001,内脏蠕虫蚴移行症,B83.000x001,,内脏蠕虫蚴移行症,B83.000x001
B83.002,弓蛔虫病,B83.000x002,,弓蛔虫病,B83.000x002
B83.101,颚口线虫病,B83.100,,颚口线虫病,B83.100
B83.201,广州管圆线虫病,B83.201,,广州血管圆线虫病,B83.201
B83.202+G05.2*,嗜酸细胞性脑膜炎,B83.202?,G05.2*,嗜酸细胞性脑膜脑炎,B83.202+G05.2*
B83.203,广州管圆线虫病性脑炎,B83.200x003,,广州管圆线虫病性脑炎,B83.200x003
B83.301,比翼线虫病,B83.300,,比翼(线虫)病,B83.300
B83.401,内部水蛭病,B83.400,,内部水蛭病,B83.400
B83.801,棘头虫病,B83.800x001,,棘头虫病,B83.800x001
B83.802,美丽筒线虫病,B83.800x002,,美丽筒线虫病,B83.800x002
B83.803,肝毛细线虫病,B83.800x003,,肝毛细线虫病,B83.800x003
B83.804,后圆线虫病,B83.800x004,,后圆线虫病,B83.800x004
B83.805,结膜吸吮线虫病,B83.800x005,,结膜吸吮线虫病,B83.800x005
B83.806,管圆线虫病,B83.800x006,,管圆线虫病,B83.800x006
B83.807,腹部管圆线虫病,B83.800x007,,腹部管圆线虫病,B83.800x007
B83.808,肾膨结线虫病,B83.800x008,,肾膨结线虫病,B83.800x008
B83.809,猪巨吻棘头虫病,B83.800x009,,猪巨吻棘头虫病,B83.800x009
B83.901,蠕虫病,B83.900,,蠕虫病,B83.900
B85.001,头虱,B85.000,,头虱引起的虱病,B85.000
B85.101,体虱,B85.100,,体虱引起的虱病,B85.100
B85.201,虱病,B85.200,,虱病,B85.200
B85.301,阴虱,B85.300,,阴虱病,B85.300
B86xx02,疥疮,B86.x00,,疥疮,B86.x00
B86xx03,绵羊疥疮,B86.x00x003,,绵羊疥疮,B86.x00x003
B86xx04,牛疥疮,B86.x00x004,,牛疥疮,B86.x00x004
B86xx05,犬疥疮,B86.x00x005,,犬疥疮,B86.x00x005
B86xx06,猪疥疮,B86.x00x006,,猪疥疮,B86.x00x006
B86xx07,动物疥疮,B86.x00x007,,动物疥疮,B86.x00x007
B87.001+L99.8*,皮肤蝇蛆病,B87.000,,皮肤蝇蛆病,B87.000
B87.101,伤口蝇蛆病,B87.100,,伤口蝇蛆病,B87.100
B87.102,创伤性蝇蛆病,B87.100x001,,创伤性蝇蛆病,B87.100x001
B87.201+H58.8*,眼蝇蛆病,B87.200,,眼蝇蛆病,B87.200
B87.301+J99.8*,鼻咽蝇蛆病,B87.300,,鼻咽蝇蛆病,B87.300
B87.302+J99.8*,喉蝇蛆病,B87.300x002,?J99.8*,喉蝇蛆病,B87.300x002+J99.8*
B87.401+H94.8*,耳蝇蛆病,B87.400,,耳蝇蛆病,B87.400
B87.801,泌尿生殖道蝇蛆病,B87.800x001,,泌尿生殖道蝇蛆病,B87.800x001
B87.802+K93.8*,肠蝇蛆病,B87.800x002,?K93.8*,肠蝇蛆病,B87.800x002+K93.8*
B87.901,蝇蛆病,B87.900,,蝇蛆病,B87.900
B88.001+L99.8*,螨性皮炎,B88.001?,L99.8*,螨性皮炎,B88.001+L99.8*
B88.002,螨虫病,B88.000x002,,螨虫病,B88.000x002
B88.003,蠕形螨病,B88.000x003,,蠕形螨病,B88.000x003
B88.004+L99.8*,革螨皮炎,B88.000x004,?L99.8*,革螨皮炎,B88.000x004+L99.8*
B88.005+L99.8*,螨虫皮炎,B88.000x001,,螨虫皮炎,B88.000x001
B88.006+L99.8*,恙螨皮炎,B88.000x006,?L99.8*,恙螨皮炎,B88.000x006+L99.8*
B88.101,潜蚤病[沙蚤侵染],B88.100,,潜蚤病\[沙蚤侵染\],B88.100
B88.201,肠蜣螂病,B88.200x001,,肠蜣螂病,B88.200x001
B88.301,外部水蛭病,B88.300,,外部水蛭病,B88.300
B88.801,舌形虫病,B88.800x001,,舌形虫病,B88.800x001
B88.802,蛇舌状虫病,B88.800x002,,蛇舌状虫病,B88.800x002
B88.804,蚰蜒皮炎,B88.800x004,,蚰蜒皮炎,B88.800x004
B88.901,皮肤病虫侵染,B88.900x001,,皮肤病虫侵染,B88.900x001
B88.902,螨侵染,B88.900x002,,螨侵染,B88.900x002
B88.903,皮肤寄生虫侵染,B88.900x003,,皮肤寄生虫侵染,B88.900x003
B89xx01,寄生虫病,B89.x00,,寄生虫病,B89.x00
B89xx02+G73.4*,寄生虫病并发肌病,B89.x00x002,?G73.4*,寄生虫病并发肌病,B89.x00x002+G73.4*
B90.001,陈旧性结核性脑膜炎,B90.001,,陈旧性结核性脑膜炎,B90.001
B90.002,结核性脑膜炎后遗症,B90.002,,结核性脑膜炎后遗症,B90.002
B90.101,陈旧性肾结核,B90.101,,陈旧性肾结核,B90.101
B90.201,陈旧性骨结核病,B90.202,,陈旧性骨结核病,B90.202
B90.202,陈旧性关节结核,B90.200x002,,陈旧性关节结核,B90.200x002
B90.203,陈旧性脊柱结核,B90.200x003,,陈旧性脊柱结核,B90.200x003
B90.801,陈旧性肠系膜淋巴结核,B90.802,,陈旧性肠系膜淋巴结核,B90.802
B90.802,陈旧性腹腔结核,B90.803,,陈旧性腹腔结核,B90.803
B90.803,陈旧性颈淋巴结核,B90.801,,陈旧性颈淋巴结核,B90.801
B90.804,陈旧性肠结核,B90.800x004,,陈旧性肠结核,B90.800x004
B90.805,陈旧性支气管淋巴结核,B90.800x005,,陈旧性支气管淋巴结核,B90.800x005
B90.806,陈旧性心包结核,B90.800x006,,陈旧性心包结核,B90.800x006
B90.901,陈旧性肺结核,B90.902,,陈旧性肺结核,B90.902
B90.902,陈旧性胸膜结核,B90.903,,陈旧性胸膜结核,B90.903
B91xx01,脊髓灰质炎后遗症,B91.x00,,脊髓灰质炎的后遗症,B91.x00
B92xx01,麻风后遗症,B92.x00,,麻风的后遗症,B92.x00
B94.001,沙眼后遗症,B94.000,,沙眼的后遗症,B94.000
B94.101,病毒性脑炎后遗症,B94.100,,病毒性脑炎的后遗症,B94.100
B94.102,流行性乙型脑炎后遗症,B94.101,,流行性乙型脑炎后遗症,B94.101
B94.201,病毒性肝炎后遗症,B94.200,,病毒性肝炎的后遗症,B94.200
B94.801,破伤风后遗症,B94.800x001,,破伤风后遗症,B94.800x001
B94.802,带状疱疹后遗症,B94.801,,带状疱疹后遗症,B94.801
B94.803,流行性脑脊髓膜炎后遗症,B94.800x003,,流行性脑脊髓膜炎后遗症,B94.800x003
B99xx01,感染,B99.x00x001,,感染,B99.x00x001
B99xx02,感染性发热,B99.x01,,感染性发热,B99.x01
B99xx03+G94.0*,感染后脑积水,B99.x00x003,?G94.0*,感染后脑积水,B99.x00x003+G94.0*
B99xx04+G73.4*,感染性疾病并发肌病,B99.x00x004,?G73.4*,感染性疾病并发肌病,B99.x00x004+G73.4*
C00.001,上唇恶性肿瘤,C00.000,,外上唇恶性肿瘤,C00.000
C00.002,上唇唇红缘恶性肿瘤,C00.002,,外上唇唇红缘恶性肿瘤,C00.002
C00.003,上唇口红区恶性肿瘤,C00.001,,外上唇口红区恶性肿瘤,C00.001
C00.101,下唇恶性肿瘤,C00.100,,外下唇恶性肿瘤,C00.100
C00.102,下唇唇红缘恶性肿瘤,C00.102,,外下唇唇红缘恶性肿瘤,C00.102
C00.103,下唇口红区恶性肿瘤,C00.101,,外下唇口红区恶性肿瘤,C00.101
C00.201,外唇恶性肿瘤,C00.200,,外唇的恶性肿瘤,C00.200
C00.202,外唇唇红缘恶性肿瘤,C00.200,,外唇的恶性肿瘤,C00.200
C00.301,上唇内面恶性肿瘤,C00.300,,上唇内面恶性肿瘤,C00.300
C00.302,上唇口腔面恶性肿瘤,C00.304,,上唇内面口腔面恶性肿瘤,C00.304
C00.303,上唇黏膜恶性肿瘤,C00.303,,上唇内面黏膜恶性肿瘤,C00.303
C00.304,上唇系带恶性肿瘤,C00.300x004,,上唇系带恶性肿瘤,C00.300x004
C00.305,上唇颊侧面恶性肿瘤,C00.300x005,,上唇颊侧面恶性肿瘤,C00.300x005
C00.401,下唇内面恶性肿瘤,C00.400,,下唇内面恶性肿瘤,C00.400
C00.402,下唇颊侧面恶性肿瘤,C00.400x002,,下唇颊侧面恶性肿瘤,C00.400x002
C00.403,下唇系带恶性肿瘤,C00.402,,下唇内面系带恶性肿瘤,C00.402
C00.404,下唇黏膜恶性肿瘤,C00.403,,下唇内面黏膜恶性肿瘤,C00.403
C00.405,下唇口腔面恶性肿瘤,C00.404,,下唇内面口腔面恶性肿瘤,C00.404
C00.501,唇内面恶性肿瘤,C00.500,,唇内面的恶性肿瘤,C00.500
C00.502,唇内面黏膜恶性肿瘤,C00.500x002,,唇内面黏膜恶性肿瘤,C00.500x002
C00.503,唇内面口腔面恶性肿瘤,C00.500x003,,唇内面口腔面恶性肿瘤,C00.500x003
C00.504,唇内面系带恶性肿瘤,C00.500x004,,唇内面系带恶性肿瘤,C00.500x004
C00.505,唇内面颊侧面恶性肿瘤,C00.500x005,,唇内面颊侧面恶性肿瘤,C00.500x005
C00.601,唇连合恶性肿瘤,C00.600,,唇连合的恶性肿瘤,C00.600
C00.901,唇恶性肿瘤,C00.900,,唇恶性肿瘤,C00.900
C01xx01,舌根恶性肿瘤,C01.x00,,舌根恶性肿瘤,C01.x00
C01xx02,舌根背面恶性肿瘤,C01.x01,,舌根背面恶性肿瘤,C01.x01
C01xx03,舌后三分之一恶性肿瘤,C01.x00x003,,舌后三分之一恶性肿瘤,C01.x00x003
C02.001,舌背面恶性肿瘤,C02.000,,舌背面恶性肿瘤,C02.000
C02.002,舌前三分之二背面恶性肿瘤,C02.000x002,,舌前三分之二背面恶性肿瘤,C02.000x002
C02.101,舌尖及侧缘的恶性肿瘤,C02.100x001,,舌尖及侧缘的恶性肿瘤,C02.100x001
C02.102,舌缘恶性肿瘤,C02.100,,舌缘恶性肿瘤,C02.100
C02.103,舌尖恶性肿瘤,C02.101,,舌尖恶性肿瘤,C02.101
C02.201,舌腹面恶性肿瘤,C02.200,,舌腹面恶性肿瘤,C02.200
C02.202,舌前三分之二腹面恶性肿瘤,C02.200x002,,舌前三分之二腹面恶性肿瘤,C02.200x002
C02.203,舌系带恶性肿瘤,C02.201,,舌系带恶性肿瘤,C02.201
C02.301,舌前三分之二恶性肿瘤,C02.300x011,,舌前三分之二恶性肿瘤,C02.300x011
C02.302,舌中三分之一恶性肿瘤,C02.300x002,,舌中三分之一恶性肿瘤,C02.300x002
C02.303,舌活动部分恶性肿瘤,C02.300x003,,舌活动部分恶性肿瘤,C02.300x003
C02.401,舌扁桃体恶性肿瘤,C02.400,,舌扁桃体恶性肿瘤,C02.400
C02.901,舌恶性肿瘤,C02.900,,舌恶性肿瘤,C02.900
C02.902,舌多处恶性肿瘤,C02.900x002,,舌多处恶性肿瘤,C02.900x002
C03.001,上牙龈恶性肿瘤,C03.000,,上牙龈恶性肿瘤,C03.000
C03.002,上颌恶性肿瘤,C03.000x002,,上颌恶性肿瘤,C03.000x002
C03.101,下牙龈恶性肿瘤,C03.100,,下牙龈恶性肿瘤,C03.100
C03.102,下颌恶性肿瘤,C03.100x002,,下颌恶性肿瘤,C03.100x002
C03.901,颌结缔组织恶性肿瘤,C03.900x001,,颌结缔组织恶性肿瘤,C03.900x001
C03.902,牙龈恶性肿瘤,C03.900,,牙龈恶性肿瘤,C03.900
C04.001,口底前部恶性肿瘤,C04.000,,口底前部恶性肿瘤,C04.000
C04.101,口底侧部恶性肿瘤,C04.100,,口底侧部恶性肿瘤,C04.100
C04.901,口底恶性肿瘤,C04.900,,口底恶性肿瘤,C04.900
C05.001,硬腭恶性肿瘤,C05.000,,硬腭恶性肿瘤,C05.000
C05.101,软腭恶性肿瘤,C05.100,,软腭恶性肿瘤,C05.100
C05.201,悬雍垂恶性肿瘤,C05.200,,悬雍垂恶性肿瘤,C05.200
C05.901,腭恶性肿瘤,C05.900,,腭恶性肿瘤,C05.900
C05.902,口顶恶性肿瘤,C05.900x002,,口顶恶性肿瘤,C05.900x002
C06.001,颊内部恶性肿瘤,C06.001,,颊内部恶性肿瘤,C06.001
C06.002,颊黏膜恶性肿瘤,C06.000,,颊黏膜恶性肿瘤,C06.000
C06.101,口前庭恶性肿瘤,C06.100,,口前庭恶性肿瘤,C06.100
C06.102,上颊沟恶性肿瘤,C06.100x002,,上颊沟恶性肿瘤,C06.100x002
C06.103,下颊沟恶性肿瘤,C06.100x003,,下颊沟恶性肿瘤,C06.100x003
C06.104,上唇沟恶性肿瘤,C06.100x004,,上唇沟恶性肿瘤,C06.100x004
C06.105,下唇沟恶性肿瘤,C06.100x005,,下唇沟恶性肿瘤,C06.100x005
C06.106,颊龈沟恶性肿瘤,C06.101,,颊龈沟恶性肿瘤,C06.101
C06.107,唇龈沟恶性肿瘤,C06.102,,唇龈沟恶性肿瘤,C06.102
C06.201,磨牙后区恶性肿瘤,C06.200,,磨牙后区恶性肿瘤,C06.200
C06.901,口腔恶性肿瘤,C06.900x001,,口腔恶性肿瘤,C06.900x001
C06.902,小唾液腺恶性肿瘤,C06.900x002,,小唾液腺恶性肿瘤,C06.900x002
C06.903,口腔黏膜恶性肿瘤,C06.902,,口腔黏膜恶性肿瘤,C06.902
C07xx01,腮腺恶性肿瘤,C07.x00,,腮腺恶性肿瘤,C07.x00
C07xx03,副腮腺恶性肿瘤,C07.x00x003,,副腮腺恶性肿瘤,C07.x00x003
C08.002,下颌下腺恶性肿瘤,C08.000,,下颌下腺恶性肿瘤,C08.000
C08.101,舌下腺恶性肿瘤,C08.100,,舌下腺恶性肿瘤,C08.100
C08.801,舌下腺及下颌下腺恶性肿瘤,C08.800x001,,舌下腺及下颌下腺恶性肿瘤,C08.800x001
C08.901,唾液腺恶性肿瘤,C08.900x001,,唾液腺恶性肿瘤,C08.900x001
C08.902,大唾液腺恶性肿瘤,C08.900x002,,大唾液腺恶性肿瘤,C08.900x002
C09.001,扁桃体窝恶性肿瘤,C09.000,,扁桃体窝恶性肿瘤,C09.000
C09.101,舌腭弓恶性肿瘤,C09.100x001,,舌腭弓恶性肿瘤,C09.100x001
C09.102,前扁桃体柱恶性肿瘤,C09.100x002,,前扁桃体柱恶性肿瘤,C09.100x002
C09.103,后扁桃体柱恶性肿瘤,C09.100x003,,后扁桃体柱恶性肿瘤,C09.100x003
C09.901,扁桃体恶性肿瘤,C09.900,,扁桃体恶性肿瘤,C09.900
C09.902,腭扁桃体恶性肿瘤,C09.902,,腭扁桃体恶性肿瘤,C09.902
C09.903,咽门扁桃体恶性肿瘤,C09.901,,咽门扁桃体恶性肿瘤,C09.901
C10.001,会厌谷恶性肿瘤,C10.000,,会厌谷恶性肿瘤,C10.000
C10.101,会厌前面恶性肿瘤,C10.100,,会厌前面恶性肿瘤,C10.100
C10.102,会厌边缘恶性肿瘤,C10.101,,会厌边缘恶性肿瘤,C10.101
C10.103,舌会厌褶恶性肿瘤,C10.102,,舌会厌褶恶性肿瘤,C10.102
C10.201,口咽侧壁恶性肿瘤,C10.200,,口咽侧壁恶性肿瘤,C10.200
C10.301,口咽后壁恶性肿瘤,C10.300,,口咽后壁恶性肿瘤,C10.300
C10.401,鳃裂恶性肿瘤,C10.400,,鳃裂恶性肿瘤,C10.400
C10.802,口咽连接部恶性肿瘤,C10.800x002,,口咽连接部恶性肿瘤,C10.800x002
C10.901,口咽恶性肿瘤,C10.900,,口咽恶性肿瘤,C10.900
C11.001,鼻咽上壁恶性肿瘤,C11.000,,鼻咽上壁恶性肿瘤,C11.000
C11.002,鼻咽顶恶性肿瘤,C11.001,,鼻咽顶恶性肿瘤,C11.001
C11.101,鼻咽后壁恶性肿瘤,C11.100,,鼻咽后壁恶性肿瘤,C11.100
C11.102,咽扁桃体恶性肿瘤,C11.102,,咽扁桃体恶性肿瘤,C11.102
C11.103,腺样体恶性肿瘤,C11.101,,腺样体恶性肿瘤,C11.101
C11.201,鼻咽侧壁恶性肿瘤,C11.200,,鼻咽侧壁恶性肿瘤,C11.200
C11.202,罗森米窝恶性肿瘤,C11.200x002,,罗森米窝恶性肿瘤,C11.200x002
C11.203,咽鼓管开口恶性肿瘤,C11.201,,咽鼓管开口恶性肿瘤,C11.201
C11.204,咽隐窝恶性肿瘤,C11.202,,咽隐窝恶性肿瘤,C11.202
C11.301,鼻中隔后缘恶性肿瘤,C11.300x001,,鼻中隔后缘恶性肿瘤,C11.300x001
C11.302,鼻咽前壁恶性肿瘤,C11.300,,鼻咽前壁恶性肿瘤,C11.300
C11.303,鼻咽底部恶性肿瘤,C11.301,,鼻咽底恶性肿瘤,C11.301
C11.304,软腭的鼻咽后面恶性肿瘤,C11.300x004,,软腭的鼻咽后面恶性肿瘤,C11.300x004
C11.305,软腭的鼻咽上面恶性肿瘤,C11.300x005,,软腭的鼻咽上面恶性肿瘤,C11.300x005
C11.306,鼻后缘恶性肿瘤,C11.300x006,,鼻后缘恶性肿瘤,C11.300x006
C11.307,鼻后孔恶性肿瘤,C11.302,,鼻后孔恶性肿瘤,C11.302
C11.801,鼻咽多壁恶性肿瘤,C11.801,,鼻咽多壁恶性肿瘤,C11.801
C11.901,鼻咽恶性肿瘤,C11.900,,鼻咽恶性肿瘤,C11.900
C12xx01,梨状窦恶性肿瘤,C12.x00,,梨状窦恶性肿瘤,C12.x00
C12xx02,梨状窝恶性肿瘤,C12.x00x002,,梨状窝恶性肿瘤,C12.x00x002
C13.001,环状软骨后恶性肿瘤,C13.000x001,,环状软骨后恶性肿瘤,C13.000x001
C13.101,杓状会厌褶恶性肿瘤,C13.100x001,,杓状会厌褶恶性肿瘤,C13.100x001
C13.102,杓状会厌褶边缘区恶性肿瘤,C13.100x002,,杓状会厌褶边缘区恶性肿瘤,C13.100x002
C13.201,下咽后壁恶性肿瘤,C13.200,,下咽后壁恶性肿瘤,C13.200
C13.901,下咽恶性肿瘤,C13.900,,下咽恶性肿瘤,C13.900
C13.902,喉咽恶性肿瘤,C13.900x002,,喉咽恶性肿瘤,C13.900x002
C14.002,咽壁恶性肿瘤,C14.000x002,,咽壁恶性肿瘤,C14.000x002
C14.003,咽恶性肿瘤,C14.000,,咽恶性肿瘤,C14.000
C14.004,咽后壁恶性肿瘤,C14.003,,咽后壁恶性肿瘤,C14.003
C14.005,咽喉恶性肿瘤,C14.001,,咽喉恶性肿瘤,C14.001
C14.201,瓦尔代尔扁桃体环恶性肿瘤,C14.200,,瓦尔代尔扁桃体环恶性肿瘤,C14.200
C14.801,颊部及牙龈恶性肿瘤,C14.800x001,,颊部及牙龈恶性肿瘤,C14.800x001
C14.802,舌根及咽部恶性肿瘤,C14.800x002,,舌根及咽部恶性肿瘤,C14.800x002
C14.803,舌根和咽部及喉部恶性肿瘤,C14.800x003,,舌根和咽部及喉部恶性肿瘤,C14.800x003
C14.804,舌部及口底恶性肿瘤,C14.800x004,,舌部及口底恶性肿瘤,C14.800x004
C14.805,口腔及咽部恶性肿瘤,C14.800x005,,口腔及咽部恶性肿瘤,C14.800x005
C14.806,腭部及咽部恶性肿瘤,C14.800x006,,腭部及咽部恶性肿瘤,C14.800x006
C14.807,舌下腺及舌根恶性肿瘤,C14.800x007,,舌下腺及舌根恶性肿瘤,C14.800x007
C15.001,食管颈部恶性肿瘤,C15.000,,颈部食管恶性肿瘤,C15.000
C15.101,食管胸部恶性肿瘤,C15.100x011,,食管胸部恶性肿瘤,C15.100x011
C15.102,食管胸上段恶性肿瘤,C15.100x002,,食管胸上段恶性肿瘤,C15.100x002
C15.103,食管胸中段恶性肿瘤,C15.100x003,,食管胸中段恶性肿瘤,C15.100x003
C15.104,食管胸下段恶性肿瘤,C15.100x004,,食管胸下段恶性肿瘤,C15.100x004
C15.201,食管腹部恶性肿瘤,C15.200x001,,食管腹部恶性肿瘤,C15.200x001
C15.801,食管颈部及腹部恶性肿瘤,C15.800x001,,食管颈部及腹部恶性肿瘤,C15.800x001
C15.802,食管颈部及胸部恶性肿瘤,C15.800x002,,食管颈部及胸部恶性肿瘤,C15.800x002
C15.803,食管胸部及腹部恶性肿瘤,C15.800x003,,食管胸部及腹部恶性肿瘤,C15.800x003
C15.804,食管颈部和胸部及腹部恶性肿瘤,C15.800x004,,食管颈部和胸部及腹部恶性肿瘤,C15.800x004
C15.901,食管恶性肿瘤,C15.900,,食管恶性肿瘤,C15.900
C15.903,食管多处恶性肿瘤,C15.900x003,,食管多处恶性肿瘤,C15.900x003
C16.001,贲门恶性肿瘤,C16.000,,贲门恶性肿瘤,C16.000
C16.002,食管贲门连接部恶性肿瘤,C16.001,,食管贲门连接处恶性肿瘤,C16.001
C16.003,贲门口恶性肿瘤,C16.000x003,,贲门口恶性肿瘤,C16.000x003
C16.004,食管胃连接部恶性肿瘤,C16.002,,食管胃连接处恶性肿瘤,C16.002
C16.101,胃底恶性肿瘤,C16.100,,胃底恶性肿瘤,C16.100
C16.201,胃体恶性肿瘤,C16.200,,胃体恶性肿瘤,C16.200
C16.301,胃窦恶性肿瘤,C16.301,,胃窦恶性肿瘤,C16.301
C16.302,幽门窦恶性肿瘤,C16.300,,幽门窦恶性肿瘤,C16.300
C16.401,幽门恶性肿瘤,C16.400,,幽门恶性肿瘤,C16.400
C16.402,幽门管恶性肿瘤,C16.402,,幽门管恶性肿瘤,C16.402
C16.403,幽门前恶性肿瘤,C16.401,,幽门前恶性肿瘤,C16.401
C16.501,胃小弯恶性肿瘤,C16.500,,胃小弯恶性肿瘤,C16.500
C16.502,胃角恶性肿瘤,C16.500,,胃小弯恶性肿瘤,C16.500
C16.601,胃大弯恶性肿瘤,C16.600,,胃大弯恶性肿瘤,C16.600
C16.801,胃底及贲门恶性肿瘤,C16.801,,贲门胃底恶性肿瘤,C16.801
C16.802,胃体和胃窦及胃大弯恶性肿瘤,C16.800x002,,胃体和胃窦及胃大弯恶性肿瘤,C16.800x002
C16.803,胃底及胃体恶性肿瘤,C16.804,,胃底胃体恶性肿瘤,C16.804
C16.804,胃体及贲门恶性肿瘤,C16.802,,贲门胃体恶性肿瘤,C16.802
C16.805,胃窦胃体恶性肿瘤,C16.803,,胃窦胃体恶性肿瘤,C16.803
C16.901,残胃恶性肿瘤,C16.903,,残胃恶性肿瘤,C16.903
C16.902,胃恶性肿瘤,C16.900,,胃恶性肿瘤,C16.900
C16.903,胃多处恶性肿瘤,C16.900x003,,胃多处恶性肿瘤,C16.900x003
C17.001,十二指肠恶性肿瘤,C17.000,,十二指肠恶性肿瘤,C17.000
C17.101,空肠恶性肿瘤,C17.100,,空肠恶性肿瘤,C17.100
C17.201,回肠恶性肿瘤,C17.200,,回肠恶性肿瘤,C17.200
C17.301,麦克尔憩室恶性肿瘤,C17.300,,麦克尔憩室恶性肿瘤,C17.300
C17.801,十二指肠及空肠恶性肿瘤,C17.800x001,,十二指肠及空肠恶性肿瘤,C17.800x001
C17.901,小肠恶性肿瘤,C17.900,,小肠恶性肿瘤,C17.900
C17.902,小肠多处恶性肿瘤,C17.900x002,,小肠多处恶性肿瘤,C17.900x002
C18.002,盲肠恶性肿瘤,C18.000,,盲肠恶性肿瘤,C18.000
C18.101,阑尾恶性肿瘤,C18.100,,阑尾恶性肿瘤,C18.100
C18.201,升结肠恶性肿瘤,C18.200,,升结肠恶性肿瘤,C18.200
C18.301,结肠肝曲恶性肿瘤,C18.300,,结肠肝曲恶性肿瘤,C18.300
C18.401,横结肠恶性肿瘤,C18.400,,横结肠恶性肿瘤,C18.400
C18.501,结肠脾曲恶性肿瘤,C18.500,,结肠脾曲恶性肿瘤,C18.500
C18.601,降结肠恶性肿瘤,C18.600,,降结肠恶性肿瘤,C18.600
C18.701,乙状结肠恶性肿瘤,C18.700,,乙状结肠恶性肿瘤,C18.700
C18.801,降结肠及乙状结肠恶性肿瘤,C18.801,,降结肠乙状结肠恶性肿瘤,C18.801
C18.802,盲肠及升结肠恶性肿瘤,C18.800x002,,盲肠及升结肠恶性肿瘤,C18.800x002
C18.803,回盲部恶性肿瘤,C18.800,,结肠交搭跨越恶性肿瘤的损害,C18.800
C18.804,升结肠及横结肠恶性肿瘤,C18.802,,升结肠横结肠恶性肿瘤,C18.802
C18.805,横结肠及降结肠恶性肿瘤,C18.803,,横结肠降结肠恶性肿瘤,C18.803
C18.901,结肠多处恶性肿瘤,C18.900x001,,结肠多处恶性肿瘤,C18.900x001
C18.902,结肠恶性肿瘤,C18.900,,结肠恶性肿瘤,C18.900
C19xx01,直肠乙状结肠连接部恶性肿瘤,C19.x00x001,,直肠乙状结肠连接部恶性肿瘤,C19.x00x001
C19xx02,直肠及结肠恶性肿瘤,C19.x01,,结肠和直肠恶性肿瘤,C19.x01
C20xx01,直肠恶性肿瘤,C20.x00,,直肠恶性肿瘤,C20.x00
C20xx02,直肠壶腹恶性肿瘤,C20.x01,,直肠壶腹部恶性肿瘤,C20.x01
C20xx03,直肠多处恶性肿瘤,C20.x00x003,,直肠多处恶性肿瘤,C20.x00x003
C21.001,肛门恶性肿瘤,C21.000,,肛门恶性肿瘤,C21.000
C21.101,肛管恶性肿瘤,C21.100,,肛管恶性肿瘤,C21.100
C21.201,泄殖腔肛源区恶性肿瘤,C21.200,,泄殖腔肛源区恶性肿瘤,C21.200
C21.801,肛门及直肠恶性肿瘤,C21.802,,直肠肛门恶性肿瘤,C21.802
C21.802,肛门直肠连接部恶性肿瘤,C21.800x002,,肛门直肠连接部恶性肿瘤,C21.800x002
